questions,option_A,option_B,option_C,option_D,correct_answer,option_E,source_file,source_folder,year
"¿Cuál de los siguientes es el síndrome que presenta vasculitis sistémica con inflamación intraocular y disfunción 
vestíbuloauditiva?",Stickler,Meige,Cogan,Lowe,C,Rieger,Oftalmología,Year2022,2022
"En el ensayo clínico AREDS 2 sobre suplementos de antioxidantes en la degeneración macular asociada a la edad, se 
fundamenta el retiro de los betacarotenos y se agrega la luteína y zeaxantina. ¿Cuál es la patología cuyo riesgo de 
presentación se incrementaba con la ingesta de betacarotenos?",Cirrosis hepática en alcohólicos,Melanoma maligno en raza blanca,Cáncer de páncreas en diabéticos,Infarto de miocardio en obesos,E,Cáncer de pulmón en fumadores,Oftalmología,Year2022,2022
"Varón de 25 años, con altos niveles de estrés, con disminución aguda de visión y metamorfopsias en ojo izquierdo. 
Antecedente de infección por Helicobacter pylori e ingesta crónica de corticoides por secuela de infección por SARS CoV-
2. Examen: agudeza visual en OD: 20/20, en OI: 20/70 que mejora con lentes positivos. Segmento anterior y presión 
intraocular normales. Fondo de ojo: lesión circular elevada en región macular y tomografía de coherencia óptica que 
reporta desprendimiento de retina neurosensorial en dicha región. ¿Cuál es la conducta terapéutica más adecuada?",Vitreólisis farmacológica con ocriplasmina,Vitrectomía por pars plana,Extracción quirúrgica de la membrana limitante,Suspender el tratamiento con corticoides,D,Panfotocoagulación retinal con láser argón,Oftalmología,Year2022,2022
"Mujer de 44 años, que desde hace 3 años presenta fotofobia, ardor, enrojecimiento y secreción mucoide de ambos ojos. 
Antecedente de insomnio, pérdida de peso a pesar de polifagia, nerviosismo, piel sudorosa y temblor en las manos. 
Examen: exoftalmos bilateral. Córnea en ambos ojos con filamentos corneales de moco, mezclados con epitelio que se 
unen por un extremo a la superficie corneal, asociados a lesión conjuntival sectorial que se tiñe bien con rosa de bengala. 
¿Cuál es la enfermedad más probable?",Herpes zoster oftálmico,Queratopatía verticilata,Dacriocistitis crónica,Queratoconjuntivitis epidémica,E,Queratoconjuntivitis límbica superior,Oftalmología,Year2022,2022
"La oxitocina es la hormona implicada en el apego y establecimiento de las relaciones sociales. ¿Dónde se libera esta 
hormona?",Hipófisis anterior,Núcleo mamilar,Hipófisis posterior,Suprarrenal,C,Putamen,Psiquiatría,Year2022,2022
"Mujer de 25 años con trastorno bipolar y tratamiento estable con litio, acude a emergencia general por dolor precordial y 
se le diagnostica un infarto agudo de miocardio. ¿Cuál es la conducta médica a seguir?",Ampliar la historia clínica,Incrementar la dosis de litio,Agregar un estabilizador del ánimo,No modificar el tratamiento,E,Rotar a otro estabilizador de ánimo,Psiquiatría,Year2022,2022
"Madre de un varón de 7 años que acaba de ser diagnosticado de trastorno del espectro autista, consulta sobre el riesgo 
que existe para sus otros hijos de tener autismo, por tener el antecedente de un primo con esquizofrenia. ¿Qué le podría 
decir usted sobre el rol de la herencia familiar en los trastornos mentales, considerando que son multifactoriales y 
complejos?",No tiene ningún rol en el caso,Hay una heredabilidad variable,Herencia recesivo probable,Herencia dominante probable,B,Herencia ligada al X probable,Psiquiatría,Year2022,2022
¿Cuál de las siguientes afirmaciones sobre suicidio es correcta?,Todas,Los que intentan matarse lo hacen sin aviso,La mejor psicoterapia es la psicoanalítica,Hay necesidad de sedarlos de inmediato,E,Los médicos presentan mayor riesgo que la,Psiquiatría,Year2022,2022
¿Cuál de los siguientes fármacos tiene mayor efecto bloqueador de los receptores D2?,Risperidona,Clozapina,Quetiapina,Ziprasidona,A,Clorpromazina,Psiquiatría,Year2022,2022
"Niño de 8 años, que discute y pelea con frecuencia con padres y abuelos; se enoja y resiente con facilidad ante pedidos 
o llamadas de atención, tiende a culpar a sus hermanos o compañeros de sus actos, fastidia a sus compañeros en clase 
y estos lo rechazan de sus juegos. Sin embargo, ante la psiquiatra se porta con buenos modales y admite que sabe lo 
que hace, pero que no puede contener su enojo. Cuando sus padres hacen su relato, los acusa de mentir o de provocarlo. 
Tiene buen rendimiento académico y es persistente con sus tareas. ¿Cuál es el trastorno más probable?",Rasgos antisociales,Déficit de atención,Oposicionista desafiante,Rivalidad fraternal,C,Negligencia infantil,Psiquiatría,Year2022,2022
"Varón de 38 años, desde hace un año teme padecer de alguna enfermedad grave, como cáncer o una cardiopatía; 
toma los borborigmos o eructos como probables síntomas de estas enfermedades. Solicita evaluaciones a varios 
médicos, las que resultan sin alteraciones. Se angustia si oye que algún familiar o amigo enferma y busca información 
sobre enfermedades que respondan a sus molestias pasajeras. ¿Cuál es el trastorno más probable?",Ansiedad por enfermedad,Pánico y agorafobia,Esquizofrenia pseudoneurótica,Síndrome de Münchhausen,A,Delusiones somáticas,Psiquiatría,Year2022,2022
"Abogada de 43 años, se queja siempre ante su jefe de ser postergada en el estudio a pesar de sus grandes méritos; sin 
embargo, su rendimiento es promedio. Grita a las asistentes si no hacen de inmediato lo que les ordena; afirma 
continuamente que es la mejor abogada del estudio y se enoja si elogian a su colega, de mejor trato con el personal, 
profesora universitaria y que hace trabajos de mayor calidad que el suyo. ¿Cuál es el trastorno de personalidad más 
probable?",Narcisista,Esquizotípica,Histriónica,Obsesiva,A,Neurótica,Psiquiatría,Year2022,2022
El trastorno ciclotímico es una forma leve del trastorno...,bipolar II.,distimia.,bipolar I.,esquizoafectivo.,A,depresión.,Psiquiatría,Year2022,2022
"Varón de 23 años en tratamiento con paroxetina por trastorno de ansiedad generalizada, cursa con reducción de la libido 
desde que inicio la toma de la medicación. ¿Qué antidepresivo de reemplazo es el indicado?",Sertralina,Duloxetina,Fluoxetina,Mirtazapina,D,Venlafaxina,Psiquiatría,Year2022,2022
"Varón de 25 años refiere que desde hace 3 meses siente que lo espían y controlan sus pensamientos mediante los 
aparatos electrónicos de su casa y en otros lugares, además de faltar al trabajo. A la evaluación no presenta otros 
síntomas, como alucinaciones o conductas bizarras. ¿Cuál es el diagnóstico?",Trastorno delirante,Esquizofrenia tipo paranoide,Depresión con síntomas psicóticos,Episodio psicótico agudo,A,Trastorno esquizoafectivo,Psiquiatría,Year2022,2022
"¿A qué corresponde, el ""arrancamiento o pellizcado sin objetivo, generalmente de la ropa de cama o de las prendas de 
vestir, observado habitualmente en la demencia y el síndrome confusional""?",Flocilación,Egoalieno,Anancasmo,Letología,A,Sinestesia,Psiquiatría,Year2022,2022
"¿Cuál es el trastorno caracterizado por déficit o deterioros que afectan a la función motora voluntaria o a la sensorial, sin 
etiología orgánica y asociados con conflictos o estresores?",Idealización,Pánico,Histriónico,Conversión,D,Evitativo,Psiquiatría,Year2022,2022
"De acuerdo con las fases del desarrollo intelectual de Piaget, la fase de operaciones formales se caracteriza por...",juego simbólico.,razonamiento silogístico.,reacción circular primaria.,reacción circular secundaria.,E,pensamiento hipotético deductivo.,Psiquiatría,Year2022,2022
"Mujer de 23 años con diagnóstico reciente de trastorno bipolar con episodios mixtos. ¿Qué estabilizador de ánimo le 
indica?",Lamotrigina,Oxcarbazepina,Quetiapina,Risperidona,B,Modafinílo,Psiquiatría,Year2022,2022
"Varón de 26 años con diagnóstico de esquizofrenia, cursa a la evaluación con una falta de sensibilidad emocional. ¿A 
qué corresponde esta alteración del afecto?",Disforia,Incongruente,Ambivalente,Embotamiento,D,Eutímico,Psiquiatría,Year2022,2022
"Varón de 55 años con episodio depresivo, antecedente de hipertensión arterial no controlada. ¿Qué antidepresivo se 
contraindica?",Sertralina,Duloxetina,Paroxetina,Amitriptilina,B,Bupropión,Psiquiatría,Year2022,2022
El trastorno de relación social desinhibida se presenta con mayor frecuencia en niños que han sufrido...,gigantismo psicosocial.,negligencia emocional.,sobreprotección.,trastorno bipolar.,B,custodia compartida.,Psiquiatría,Year2022,2022
"Mujer de 90 años totalmente ciega, que empieza a ver personas que vienen hacia ella y le sonríen; además ve animales 
y niños que suben y bajan escaleras. Esas alucinaciones parecen extraordinariamente reales. Neurólogo lo evalúa y no 
encuentra organicidad, fuera de la ceguera previa diagnóstica. ¿Cuál es el probable síndrome que presenta?",Capgras,Fregoli,Asperger,Korsakoff,E,Charles Bonnet,Psiquiatría,Year2022,2022
"Mujer de 35 años que acaba de dar a luz a su primer hijo hace 3 semanas, acude a consulta de psiquiatría por presentar 
llanto frecuente, tristeza, preocupación y miedo, se siente incapaz de cuidar a su hijo, por lo que ha necesitado asistencia 
para el cuidado de su bebé. ¿Cuál es el diagnóstico probable?",Tristeza posparto,Psicosis posparto,Ansiedad anticipatoria,Trastorno adaptativo,E,Depresión posparto,Psiquiatría,Year2022,2022
"¿A qué corresponde la ""modalidad del pensamiento precategorial donde se perciben relaciones secretas entre las cosas 
y los objetos o los acontecimientos adquieren un papel representativo sui géneris""?",Adjudicación adventicia,Concretismo de lo mental,Pensamiento enajenado,Perseveración y estereotipia,E,Simbolismo primitivo,Psiquiatría,Year2022,2022
En el trastorno obsesivo compulsivo. ¿Cuál es el pensamiento obsesivo más frecuente?,Duda patológica,Agresiones,Simetría,Recuento,E,Contaminación,Psiquiatría,Year2022,2022
¿Cómo se denomina a la repetición mecánica continua de actividades discursivas o físicas?,Eidetismo,Mímica,Estereotipia,Sinestesia,C,Volición,Psiquiatría,Year2022,2022
"Contador de 45 años, con trabajo estable; durante el confinamiento por COVID-19 realizó trabajo remoto sin quejas; no 
ha tenido pareja ni la ha buscado; antes y después del confinamiento se encerraba en su oficina y no compartía 
actividades sociales con colegas o compañeros. Su facies es inexpresiva, no manifiesta emociones y es parco al hablar. 
Prefiere las diversiones que puede realizar en solitario. ¿Cuál es el trastorno de personalidad más probable?",Paranoide,Narcisista,Evitativa,Ansiosa,E,Esquizoide,Psiquiatría,Year2022,2022
¿Cuál es el tratamiento farmacológico de primera línea para el trastorno por déficit de atención con hiperactividad?,Benzodiacepinas,Metilfenidato,Bupropión,Agonista alfa-adrenérgicos,B,Anfetaminas,Psiquiatría,Year2022,2022
¿Cuál de los siguientes trastornos endocrinos es un potencial efecto secundario del carbonato de litio?,Hipoaldosteronismo,Hipergonadismo,Hipopituitarismo,Hiperparatiroidismo,E,Hipotiroidismo,Psiquiatría,Year2022,2022
"La experiencia emocional subjetiva e inmediata, unida a ideas o a representaciones mentales de objetos, se denomina...",humor.,tensión.,abulia.,afecto.,D,bloqueo.,Psiquiatría,Year2022,2022
"Mujer de 39 años, llega a un lugar en el que antes no había estado, sin embargo, tiene la sensación subjetiva de haber 
vivido ese momento. ¿Cómo se define a esta alteración de la memoria?",Jamais vu,Déja vu,Alomnesia,Paramnesia,B,Amnesia,Psiquiatría,Year2022,2022
Previa a la pandemia de la COVID-19. ¿Cuál es el trastorno más frecuente en personas adultas?,Trastorno de ansiedad generalizada,Consumo de alcohol,Fobia social,Episodio depresivo,D,Trastorno de ansiedad generalizada,Psiquiatría,Year2022,2022
¿Cuál es una de las cuatro A de Eugen Bleuler en la esquizofrenia?,Anancastia,Asertividad,Ambivalencia,Autonomía,C,Asimetría,Psiquiatría,Year2022,2022
"Niña de 6 años que vive en casa hogar; criada por varios tíos, sin cuidador permanente, por encarcelamiento de los 
padres. Los cuidadores la describen como retraída e inexpresiva. Si se cae o daña, no busca consuelo. En ocasiones 
tiene episodios de miedo cuando interactúa con la madre sustituta, pero no puede decir la razón. ¿Cuál es el trastorno 
más probable?",Apego reactivo,Desintegrativo,Desarrollo,Habilidad social,A,Depresión leve,Psiquiatría,Year2022,2022
"El síndrome amotivacional se asocia al consumo prolongado y de grandes cantidades de … , la persona presenta apatía 
y anergia.",cannabis,alcohol,cocaína,benzodiacepinas,A,tabaco,Psiquiatría,Year2022,2022
¿Cuál es una característica de las alucinaciones?,Vivencia visual,Forma inconstante,Aparición voluntaria,Interioridad espacial,E,Frescor sensorial,Psiquiatría,Year2022,2022
En la terapia del insomnio. ¿Cuál de los siguientes fármacos NO muestra evidencia de generar tolerancia y abstinencia?,Alprazolam,Zolpidem,Clonazepam,Milnacipram,B,Triazolam,Psiquiatría,Year2022,2022
"Mujer de 25 años con diagnóstico de trastorno de la personalidad limítrofe con antecedente de múltiples intentos suicidas, 
motivo por el cual es derivada para realizar … , que ha demostrado efectos positivos en este trastorno.",terapia cognitivo conductual,biorretroalimentación,terapia interpersonal,psicoanálisis,E,terapia conductual dialéctica,Psiquiatría,Year2022,2022
"Los antipsicóticos de primera generación se asocian a numerosos efectos adversos debido a su acción en receptores a 
nivel cerebral. ¿Qué tipo de receptor se asocia con la sedación y ganancia de peso?",Dopamina (D2),Histamina (H1),Muscarínico (M1),Serotonina (5-HT),B,Alpha adrenérgico,Psiquiatría,Year2022,2022
"Mujer de 30 años, siente miedo de contagiarse de COVID-19 cuando va al hospital que está a unos kilómetros de su 
casa, y se mudó de casa por culpa del hospital; además, cuando realiza compras, si ve que el vendedor luce un mal 
estado y considera que puede contagiarle algo, por ello limpia toda su casa y decide no volver a esa tienda. ¿Cuál es el 
probable trastorno que presenta?",Hipocondriaco,Ansioso,Agorafobia,Fobia específica,D,Obsesivo compulsivo,Psiquiatría,Year2022,2022
"La hipótesis de dopamina de la esquizofrenia implica el compromiso de 4 vías dopaminérgicas. ¿Cuál es la vía que explica 
los síntomas negativos y cognitivos?",Mesolímbica,Nigroestriatal,Tuberoinfundibular,Cortical,E,Mesocortical,Psiquiatría,Year2022,2022
"¿Cuál es el fármaco de primera línea, aprobado por la FDA, para el tratamiento de bulimia nervosa?",Bupropion,Fluoxetina,Imipramina,Moclobemida,B,Duloxetina,Psiquiatría,Year2022,2022
"La discapacidad intelectual es un trastorno que comienza durante el período de desarrollo e incluye limitaciones del 
funcionamiento intelectual y del comportamiento adaptativo. La escala para determinar su gravedad NO incluye la 
siguiente alternativa:",Leve,Limítrofe,Moderado,Grave,B,Profundo,Psiquiatría,Year2022,2022
¿Cuál de los siguientes contribuye con el desarrollo del trastorno de estrés postraumático?,Presencia de padres afectuosos,Vulnerabilidad genética para trastornos mentales,Soporte social y educativo,Sexo masculino,B,Acceso a psicoterapia,Psiquiatría,Year2022,2022
"Varón de 25 años, hospitalizado por diagnóstico de tuberculosis cerebral e infección por VIH, cursa con ausencia de 
actividad psicomotora, resistencia leve y constante al cambio de postura al ser examinado, respuesta verbal ausente y 
ecopraxia. Tomografía cerebral normal. ¿Cuál es el cuadro clínico que presenta el paciente?",Delirium tremens,Estupor,Delirio,Esquizofrenia,E,Catatonia,Psiquiatría,Year2022,2022
¿Cuál es el trastorno mental con mayor heredabilidad?,Depresión,Esquizofrenia,Trastorno obsesivo compulsivo,Trastorno de estrés postraumático,B,Trastorno por consumo de alcohol,Psiquiatría,Year2022,2022
"Médico tratante que percibe que durante la consulta de psiquiatría el paciente proyecta en él inconscientemente 
sentimientos infantiles. ¿Cómo se denomina este fenómeno en la relación médico-paciente?",Contratransferencia,Neutralidad afectiva,Transferencia,Benevolencia,C,Empatía,Psiquiatría,Year2022,2022
"Los tres clúster o subgrupos de los trastornos de personalidad son el tipo A, B y C. En el grupo A se considera:",Paranoide,Histriónico,Narcisista,Limítrofe,A,Antisocial,Psiquiatría,Year2022,2022
"Mujer de 32 años que inicia tratamiento con sertralina por trastorno ansioso, presenta súbitamente sensación de ansiedad, 
agitación, inquietud permanente y sin poder controlar esas sensaciones. ¿A qué cuadro clínico corresponde?",Discinesia aguda inducida por fármacos,Síndrome neuroléptico maligno,Distonía aguda inducida por fármacos,Acatisia aguda inducida por fármacos,D,Delirium inducido por fármacos,Psiquiatría,Year2022,2022
"Niño de 10 años, desde los 5 años presenta tics motores (tos, guiños, gruñidos), ecopraxia, coprolalia y ecolalia, que se 
han incrementado progresivamente; mejoró con haloperidol y tratamiento conductual. ¿Cuál es el trastorno más probable?",Antisocial,De la Tourette,De Duchenne,Corea de Huntington,B,Encefalitis,Psiquiatría,Year2022,2022
"Varón de 45 años, que acudió a emergencia por náuseas y vómitos, diaforesis, mialgia, insomnio de una semana de 
duración; durante la entrevista se queja de disforia. Examen: T° 36.5 °C, FC 88X'; piloerección, midriasis; resto normal. 
El paciente dijo a la emergencista: ""Doctora, debe ser por la tos crónica que tengo, que me pongo así cuando no uso mi 
jarabe para la tos"". ¿Cuál es el diagnóstico más probable?",Abstinencia de opiáceos,Intoxicación por AINES,Delirio por infección,Trastorno facticio,A,Crisis de pánico,Psiquiatría,Year2022,2022
"En las sociedades occidentales, la prevalencia de la discapacidad intelectual en un momento dado oscila entre...%.",3 y 6,1 y 3,0.5 y 1,0.34 y 2,B,2.6 y 5,Psiquiatría,Year2022,2022
"Varón de 55 años con cambios progresivos de la conducta como desinhibición social, apatía, pérdida de la empatía con 
sus familiares, aumento del consumo de dulces; además de problemas de la memoria y lenguaje, en resonancia cerebral 
hay hallazgos compatibles con atrofia a predominio frontal. ¿Cuál es el probable diagnóstico?",Demencia frontotemporal variante conductual,Demencia de cuerpos de Lewy,Demencia de Alzheimer de inicio temprano,Pseudodemencia,A,Trastorno cognitivo leve,Psiquiatría,Year2022,2022
"Varón de 25 años que consume marihuana desde hace 4 años, abandono los estudios hace un año y culpa a sus padres 
por haberse separado cuando él tenía 3 años, con frecuencia pide dinero a ambos padres argumentado que reiniciará los 
estudios en la universidad. La conducta de los padres se puede catalogar como:",Disociación,Racionalización,Codependencia,Sobreprotección,C,Tolerancia,Psiquiatría,Year2022,2022
El trastorno de estrés postraumático es clasificado en el......como un trastorno de ansiedad.,DSM-5,DSM-IV-TR,DSM-III,DSM,B,DSM-IV,Psiquiatría,Year2022,2022
"Varón de 23 años, acude a consulta por presentar una alteración del pensamiento caracterizado por un curso acelerado 
con asociaciones laxas y superficiales y contenido de grandeza; además de un discurso que carece de unidad. ¿A qué 
descripción psicopatológica corresponde?",Pensamiento prolijo,Pensamiento embrollado,Pensamiento disgregado,Fuga de ideas,D,Pensamiento inhibido,Psiquiatría,Year2022,2022
¿Cuántas horas de vida media en promedio tiene el haloperidol?,36,21,42,96,B,10,Psiquiatría,Year2022,2022
"Varón de 26 años, muy angustiado, afirma con certidumbre que tiene un hombre situado a su espalda con un dron, que 
lo filma constantemente, aunque no los puede ver y no los halla si lo busca. ¿Cuál es el síntoma más probable?",Delusión de suplantación,Alucinaciones extracorpóreas,Convicción corporal sin sensación,Psicosis orgánica aguda,C,Síndrome de Clérambault,Psiquiatría,Year2022,2022
"La jerga ininteligible que tiene significado para el que habla, pero no para el que escucha, se denomina...",delirio.,verborrea.,disprosodia.,glosolalia.,D,devaluación.,Psiquiatría,Year2022,2022
"¿Cuál de las alternativas, es una de las 4 características de las fobias, según Seligman?",Selectividad,Rutinización,Fácil extinción,Racionalidad,A,Compulsividad,Psiquiatría,Year2022,2022
Síndrome de Cotard es un delirio......que considera que la persona está muerta o pudriéndose por dentro.,pobreza,religioso,grandeza,culpa,E,nihilista,Psiquiatría,Year2022,2022
¿Cuál es el antipsicótico con menor riesgo de causar hiperprolactinemia?,Risperidona,Paliperidona,Aripiprazol,Haloperidol,C,Flufenazina,Psiquiatría,Year2022,2022
"La......es una condición innata a los seres vivos, y la......es una condición deliberada o intencional.",violencia / agresividad,hostilidad / agresividad,agresividad / violencia,agresividad / hostilidad,C,destructividad / hostilidad,Psiquiatría,Year2022,2022
"Varón de 25 años fue arrestado porque intento robar un automóvil. En la comisaria verifican que tiene antecedentes de 
hecho similares desde la adolescencia. Durante el interrogatorio se muestra relajado, e incluso llegar a hacer bromas, 
cuando le interroga por el robo da una explicación inverosímil “tenía que llevar a mi mamá al hospital porque esta con una 
enfermedad terminal”, se le indica que madre está en la comisaria y negó esta información, elabora otra explicación. En 
todo momento atribuye su conducta a las demás personas y es incapaz de sentir culpa ante este evento y similares que 
relata con tranquilidad. ¿Cuál es el probable trastorno de personalidad?",Esquizoide,Antisocial,Narcisista,Histriónico,B,Limítrofe,Psiquiatría,Year2022,2022
"Niño de 9 años, llevado a consulta por comer substancias inasimilables, como madera o crayolas. ¿Cuál es el trastorno 
más probable?",Bulimia,Pica,Rumiación,Agripnia,B,Sitiofobia,Psiquiatría,Year2022,2022
"¿Cuál es el tiempo durante el cual se puede detectar metabolitos de cocaína en orina, con mayor probabilidad?",4 a 7 horas,10 a 12 días,2 a 4 días,10 a 24 horas,C,5 a 10 días,Psiquiatría,Year2022,2022
"Mujer de 15 años con depresión que inicia tratamiento con inhibidores selectivos de la recaptación de serotonina por 
primera vez. ¿Qué efectos adversos son menos frecuentes durante el tratamiento?",Desinhibición,Sequedad de boca,Incremento de riesgo de conducta suicida,Apatía,E,Síntomas extrapiramidales,Psiquiatría,Year2022,2022
"Mujer de 35 años, presenta preocupación excesiva la mayor parte del día, durante los últimos 8 meses, en relación con 
diversas actividades, le cuesta controlar esa preocupación; siente que tiene los “nervios de punta”, se fatiga con facilidad, 
dificultad para concentrarse, tensión muscular y le han generado dificultades para hacer su trabajo. ¿Cuál es el trastorno 
probable?",Pánico,Ansioso depresivo,Adaptativo,Estrés postraumático,E,Ansiedad generalizada,Psiquiatría,Year2022,2022
Entre las sustancias que producen farmacodependencia. ¿Cuál actúa como depresor del sistema nervioso central?,Anfetaminas,Cocaína,Alcohol,Cannabis sativa,C,Mescalina,Psiquiatría,Year2022,2022
"Según Erikson, la etapa 7 del desarrollo (generatividad frente a estancamiento) transcurre aproximadamente entre 
los......años.",15 a 29,20 a 30,13 a 21,40 a 60,D,60 a 80,Psiquiatría,Year2022,2022
El trastorno obsesivo compulsivo se caracteriza por pensamientos intrusivos que...,desaparecen sin ninguna intervención.,no tienen un patrón específico.,no alteran la funcionalidad de la persona.,generan malestar significativo.,D,ocurren por consumo de sustancias psicoactivas.,Psiquiatría,Year2022,2022
¿Cuál de los siguientes no es un diagnóstico diferencial del trastorno del espectro autista?,Trastorno de comunicación social,Discapacidad intelectual con síntomas conductuales,Alteración grave de la capacidad auditiva,Privación psicosocial,E,Trastorno específico del aprendizaje,Psiquiatría,Year2022,2022
"Mujer de 24 años, desde hace 4 años con tratamiento por epilepsia; desde hace 3 meses acude a emergencia por cursar 
con probable status convulsivo. Se hospitaliza para ampliar estudios, en el EEG no se aprecia cambios significativos en 
comparación con el último control año anterior; durante su hospitalización no se observan convulsiones. ¿Cuál de las 
siguientes alternativas contribuye con un posible trastorno conversivo?",La belle indifference o actitud indiferente inapropiada frente a los síntomas,Nivel plasmático de anticonvulsivantes por debajo de lo recomendando,Alteración en ganglios basales en la resonancia cerebral,Se evidencia un control voluntario de los episodios convulsivos,A,Aparición de síntomas nuevos poco habituales según el diagnóstico de la paciente,Psiquiatría,Year2022,2022
"Varón de 35 años con diagnóstico de esquizofrenia que cursa con movimientos involuntarios (discinesia tardía) 
por antipsicóticos, motivo por el cual se decide rotar el antipsicótico a clozapina. A los 4 meses del tratamiento paciente 
acude a emergencia por fiebre elevada, faringitis, ulceras bucales y anales. ¿Cuál es el efecto secundario probable?",Miocarditis,Síndrome dopaminérgico,Fiebre de origen desconocido,Síndrome serotoninérgico,E,Agranulocitosis,Psiquiatría,Year2022,2022
"Mujer de 40 años acaba de recibir el diagnóstico de cáncer de páncreas en etapa avanzada, la reacción inicial es negar 
que algo malo le vaya a pasar. Luego de unos días, pide una cita con su médico y le indica que seguirá todas sus 
recomendaciones al pie de la letra y le comenta que ha ido a la iglesia y prometido dedicarle una misa mensual a la Virgen 
de la Candelaria para que se pueda curar. ¿En qué etapa del duelo se encuentra la paciente?",Ira,Aceptación,Negociación,Negación,C,Depresión,Psiquiatría,Year2022,2022
"Mujer de 18 años con antecedente de tratamiento por consumo de marihuana desde hace 2 años. Retomo consumo 
desde hace 3 meses que se incrementa progresivamente, hace 1 semana fuma alrededor de 4 cigarrillos. Después de 
una hora empieza a ver familiares que han fallecido, quienes le decían que algo le podría pasar, que no debe salir de su 
casa; persiste con estos síntomas por varios días. ¿Cuál es el diagnóstico más probable?",Trastorno esquizofrénico,Delirium tremens,Trastorno depresivo con síntomas psicóticos,Psicosis inducida por cannabis,D,Intoxicación por consumo de cannabis,Psiquiatría,Year2022,2022
"Varón de 35 años presenta alucinaciones visuales al inicio del sueño, se caracteriza porque son imágenes de personas 
con ropa y le resulta difícil diferenciar las imágenes de sus sueños. ¿Cuál es el tipo de alucinación?",Hipnopómpicas,Autorreferenciales,Hipnagógicas,Paranoides,C,Extravagantes,Psiquiatría,Year2022,2022
"La encefalopatía de Wernicke es un síndrome agudo caracterizado por ataxia, oftalmoplejía/nistagmus y alteración de la 
conciencia como parte de la degeneración neuronal. ¿La deficiencia de que vitamina provoca este cuadro?",Calciferol,Tiamina,Cianocobalamina,Tocoferol,B,Riboflavina,Psiquiatría,Year2022,2022
"¿Cuál es el trastorno que, ""de acuerdo al DSM-5 se caracteriza por un ánimo deprimido la mayor parte del tiempo, durante 
al menos 2 años; además presenta por lo menos dos síntomas de alteración del sueño, apetito, fatiga, baja autoestima, 
falta de concentración, sentimientos de desesperanza""?",Depresión mayor,Depresivo persistente,Depresivo inducido,Depresivo no especificado,B,Adaptativo,Psiquiatría,Year2022,2022
¿Cuál es el fármaco de primera línea para el tratamiento de depresión bipolar?,Valproato de sodio,Carbamazepina,Quetiapina,Divalproato de sodio,E,Lamotrigina,Psiquiatría,Year2022,2022
"En una gestante con trastorno bipolar. ¿Cuál de los siguientes fármacos está más asociado a la presencia de anomalía 
de Ebstein?",Valproato,Quetiapina,Lamotrigina,Litio,D,Buspirona,Psiquiatría,Year2022,2022
"La......es una anormalidad del afecto que se caracteriza por experimentar de modo simultáneo y sobre un mismo objeto 
sentimientos opuestos.",apatía,ambitimia,incontinencia emocional,distimia,B,anafectividad,Psiquiatría,Year2022,2022
"Varón de 25 años, remitido por dermatología; mostró cicatrices abundantes en mentón, frente y nuca. Afirmó que no 
puede dejar de rascarse cuando percibe ""un granito, una irregularidad en mi piel"". Si no lo hace, se siente angustiado e 
inquieto. En ocasiones debe de interrumpir sus labores por la necesidad del rascado, aunque le provoque culpa y 
malestar. ¿Cuál es el trastorno más probable?",Somatización,Impulsividad,Compulsión,Irritabilidad,E,Excoriación,Psiquiatría,Year2022,2022
"Mujer de 45 años, piensa que su esposo ha sido reemplazado por un doble exacto. ¿A qué síndrome corresponde?",Fregoli,Asperger,Korsakoff,Capgras,D,Charles Bonnet,Psiquiatría,Year2022,2022
"Mujer de 30 años, describe que hay pensamientos que entran en su mente y los atribuye a su vecino; además siente que 
maneja su mente como una máquina y proyecta sus pensamientos en ella. ¿A que pensamiento corresponde este 
síntoma?",Difusión,Robo,Bloqueo,Inserción,D,Rumiación,Psiquiatría,Year2022,2022
En la violencia doméstica. ¿Cuál es el factor de riesgo común entre la persona agredida y agresor?,Bajo grado de instrucción,Estrato económico bajo,Crecer en hogares violentos,Estrato económico alto,C,No tener credo religioso,Psiquiatría,Year2022,2022
"Varón de 45 años, traído por realizar disturbios en la calle, presenta lenguaje disártrico y ataxia marcada, además de 
mencionar ideas de no querer seguir viviendo. Examen: aliento alcohólico, leve incremento de la presión arterial. ¿Cuál 
es el diagnóstico probable?",Dependencia alcohólica,Intoxicación alcohólica aguda,Síndrome de Wernicke-Korsakoff,Reacción adversa medicamentosa,B,Psicosis aguda,Psiquiatría,Year2022,2022
"¿Cuál de las siguientes intervenciones recomendadas para los trastornos de conducta alimentaria, NO ha demostrado 
eficacia?",Psicoterapia individual,Psicoterapia grupal o familiar,Consejería o asesoramiento nutricional,Antidepresivos,E,Estimulación cerebral profunda,Psiquiatría,Year2022,2022
"Varón de 45 años que sufrió un asalto con arma de fuego, luego de un mes de ese evento paciente empieza a sentir 
temor al salir de su casa, cursa con recuerdos vividos del evento, los cuales trata de controlarlos sin llegar a 
lograrlo, presenta pesadillas relacionadas con el evento y familia ve con preocupación su conducta. ¿Qué alternativa no 
contribuye con el diagnóstico?",Duración de los síntomas menos de 1 mes,Síntomas de despersonalización,Síntomas de desrealización,Hipervigilancia,A,Alteración del sueño,Psiquiatría,Year2022,2022
