source_file,year,count_of_matches,total_rows,percent_correct,model_name,source_file_eng
Cirugía de Tórax y Cardiovascular,2022,45,100,45.0,medgemma-4b-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,46,99,46.46,medgemma-4b-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,47,100,47.0,medgemma-4b-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,88,200,44.0,medgemma-4b-it,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,36,100,36.0,medgemma-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,41,100,41.0,medgemma-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,36,100,36.0,medgemma-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,34,100,34.0,medgemma-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,37,100,37.0,medgemma-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,42,100,42.0,medgemma-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,34,100,34.0,medgemma-4b-it,Gynecology and Obstetrics
Neurocirugía,2022,35,100,35.0,medgemma-4b-it,Neurosurgery
Neurocirugía,2023,45,100,45.0,medgemma-4b-it,Neurosurgery
Neurocirugía,2024,52,100,52.0,medgemma-4b-it,Neurosurgery
Neurocirugía,2025,42,100,42.0,medgemma-4b-it,Neurosurgery
Oftalmología,2018,35,100,35.0,medgemma-4b-it,Ophthalmology
Oftalmología,2019,38,100,38.0,medgemma-4b-it,Ophthalmology
Oftalmología,2020,37,100,37.0,medgemma-4b-it,Ophthalmology
Oftalmología,2022,37,100,37.0,medgemma-4b-it,Ophthalmology
Oftalmología,2023,34,99,34.34,medgemma-4b-it,Ophthalmology
Oftalmología,2024,35,100,35.0,medgemma-4b-it,Ophthalmology
Oftalmología,2025,38,98,38.78,medgemma-4b-it,Ophthalmology
Pediatría,2018,43,99,43.43,medgemma-4b-it,Pediatrics
Pediatría,2019,54,100,54.0,medgemma-4b-it,Pediatrics
Pediatría,2020,46,100,46.0,medgemma-4b-it,Pediatrics
Pediatría,2022,46,100,46.0,medgemma-4b-it,Pediatrics
Pediatría,2023,52,100,52.0,medgemma-4b-it,Pediatrics
Pediatría,2024,46,99,46.46,medgemma-4b-it,Pediatrics
Pediatría,2025,45,100,45.0,medgemma-4b-it,Pediatrics
Prueba A,2018,52,100,52.0,medgemma-4b-it,Test A
Prueba A,2019,58,99,58.59,medgemma-4b-it,Test A
Prueba A,2020,46,90,51.11,medgemma-4b-it,Test A
Prueba A,2022,56,100,56.0,medgemma-4b-it,Test A
Prueba A,2023,48,100,48.0,medgemma-4b-it,Test A
Prueba A,2024,57,100,57.0,medgemma-4b-it,Test A
Prueba A,2025,45,100,45.0,medgemma-4b-it,Test A
Prueba B,2018,54,100,54.0,medgemma-4b-it,Test B
Prueba B,2019,48,100,48.0,medgemma-4b-it,Test B
Prueba B,2020,47,90,52.22,medgemma-4b-it,Test B
Prueba B,2022,52,100,52.0,medgemma-4b-it,Test B
Prueba B,2023,38,100,38.0,medgemma-4b-it,Test B
Prueba B,2024,43,100,43.0,medgemma-4b-it,Test B
Prueba B,2025,55,100,55.0,medgemma-4b-it,Test B
Psiquiatría,2018,52,99,52.53,medgemma-4b-it,Psychiatry
Psiquiatría,2019,56,100,56.0,medgemma-4b-it,Psychiatry
Psiquiatría,2020,66,100,66.0,medgemma-4b-it,Psychiatry
Psiquiatría,2022,60,100,60.0,medgemma-4b-it,Psychiatry
Psiquiatría,2023,61,100,61.0,medgemma-4b-it,Psychiatry
Psiquiatría,2024,58,100,58.0,medgemma-4b-it,Psychiatry
Psiquiatría,2025,65,100,65.0,medgemma-4b-it,Psychiatry
Radiología,2018,40,100,40.0,medgemma-4b-it,Radiology
Radiología,2019,47,100,47.0,medgemma-4b-it,Radiology
Radiología,2022,36,100,36.0,medgemma-4b-it,Radiology
Radiología,2023,43,100,43.0,medgemma-4b-it,Radiology
Radiología,2024,43,100,43.0,medgemma-4b-it,Radiology
Radiología,2025,39,100,39.0,medgemma-4b-it,Radiology
Urología,2018,57,100,57.0,medgemma-4b-it,Urology
Urología,2020,42,100,42.0,medgemma-4b-it,Urology
Urología,2022,41,100,41.0,medgemma-4b-it,Urology
Urología,2023,50,99,50.51,medgemma-4b-it,Urology
Urología,2024,37,100,37.0,medgemma-4b-it,Urology
Urología,2025,34,100,34.0,medgemma-4b-it,Urology
Anatomía Patológica & Patología,2018,63,96,65.62,medgemma-1.5-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,51,96,53.12,medgemma-1.5-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,54,99,54.55,medgemma-1.5-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,64,99,64.65,medgemma-1.5-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,61,99,61.62,medgemma-1.5-4b-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,51,98,52.04,medgemma-1.5-4b-it,Pathological Anatomy and Pathology
Anestesiología,2018,55,96,57.29,medgemma-1.5-4b-it,Anesthesiology
Anestesiología,2019,65,97,67.01,medgemma-1.5-4b-it,Anesthesiology
Anestesiología,2020,50,94,53.19,medgemma-1.5-4b-it,Anesthesiology
Anestesiología,2022,48,96,50.0,medgemma-1.5-4b-it,Anesthesiology
Anestesiología,2023,54,96,56.25,medgemma-1.5-4b-it,Anesthesiology
Anestesiología,2024,60,99,60.61,medgemma-1.5-4b-it,Anesthesiology
Anestesiología,2025,57,96,59.38,medgemma-1.5-4b-it,Anesthesiology
Cirugía General,2018,43,97,44.33,medgemma-1.5-4b-it,General Surgery
Cirugía General,2019,57,99,57.58,medgemma-1.5-4b-it,General Surgery
Cirugía General,2020,50,94,53.19,medgemma-1.5-4b-it,General Surgery
Cirugía General,2022,51,95,53.68,medgemma-1.5-4b-it,General Surgery
Cirugía General,2023,52,99,52.53,medgemma-1.5-4b-it,General Surgery
Cirugía General,2024,50,100,50.0,medgemma-1.5-4b-it,General Surgery
Cirugía General,2025,56,100,56.0,medgemma-1.5-4b-it,General Surgery
Cirugía de Tórax y Cardiovascular,2019,38,99,38.38,medgemma-1.5-4b-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,58,96,60.42,medgemma-1.5-4b-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,51,95,53.68,medgemma-1.5-4b-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,47,96,48.96,medgemma-1.5-4b-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,112,194,57.73,medgemma-1.5-4b-it,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,55,97,56.7,medgemma-1.5-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,53,97,54.64,medgemma-1.5-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,46,96,47.92,medgemma-1.5-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,46,99,46.46,medgemma-1.5-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,48,99,48.48,medgemma-1.5-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,47,99,47.47,medgemma-1.5-4b-it,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,51,95,53.68,medgemma-1.5-4b-it,Gynecology and Obstetrics
Neurocirugía,2022,50,97,51.55,medgemma-1.5-4b-it,Neurosurgery
Neurocirugía,2023,50,95,52.63,medgemma-1.5-4b-it,Neurosurgery
Neurocirugía,2024,49,98,50.0,medgemma-1.5-4b-it,Neurosurgery
Neurocirugía,2025,53,96,55.21,medgemma-1.5-4b-it,Neurosurgery
Oftalmología,2018,47,98,47.96,medgemma-1.5-4b-it,Ophthalmology
Oftalmología,2019,41,97,42.27,medgemma-1.5-4b-it,Ophthalmology
Oftalmología,2020,47,96,48.96,medgemma-1.5-4b-it,Ophthalmology
Oftalmología,2022,39,99,39.39,medgemma-1.5-4b-it,Ophthalmology
Oftalmología,2023,47,96,48.96,medgemma-1.5-4b-it,Ophthalmology
Oftalmología,2024,42,100,42.0,medgemma-1.5-4b-it,Ophthalmology
Oftalmología,2025,51,98,52.04,medgemma-1.5-4b-it,Ophthalmology
Pediatría,2018,54,97,55.67,medgemma-1.5-4b-it,Pediatrics
Pediatría,2019,63,93,67.74,medgemma-1.5-4b-it,Pediatrics
Pediatría,2020,53,96,55.21,medgemma-1.5-4b-it,Pediatrics
Pediatría,2022,57,97,58.76,medgemma-1.5-4b-it,Pediatrics
Pediatría,2023,57,97,58.76,medgemma-1.5-4b-it,Pediatrics
Pediatría,2024,63,96,65.62,medgemma-1.5-4b-it,Pediatrics
Pediatría,2025,59,96,61.46,medgemma-1.5-4b-it,Pediatrics
Prueba A,2018,66,97,68.04,medgemma-1.5-4b-it,Test A
Prueba A,2019,66,99,66.67,medgemma-1.5-4b-it,Test A
Prueba A,2020,51,88,57.95,medgemma-1.5-4b-it,Test A
Prueba A,2022,68,95,71.58,medgemma-1.5-4b-it,Test A
Prueba A,2023,62,98,63.27,medgemma-1.5-4b-it,Test A
Prueba A,2024,62,98,63.27,medgemma-1.5-4b-it,Test A
Prueba A,2025,57,98,58.16,medgemma-1.5-4b-it,Test A
Prueba B,2018,63,97,64.95,medgemma-1.5-4b-it,Test B
Prueba B,2019,54,93,58.06,medgemma-1.5-4b-it,Test B
Prueba B,2020,57,88,64.77,medgemma-1.5-4b-it,Test B
Prueba B,2022,58,96,60.42,medgemma-1.5-4b-it,Test B
Prueba B,2023,54,98,55.1,medgemma-1.5-4b-it,Test B
Prueba B,2024,51,96,53.12,medgemma-1.5-4b-it,Test B
Prueba B,2025,59,98,60.2,medgemma-1.5-4b-it,Test B
Psiquiatría,2018,65,96,67.71,medgemma-1.5-4b-it,Psychiatry
Psiquiatría,2019,63,98,64.29,medgemma-1.5-4b-it,Psychiatry
Psiquiatría,2020,73,99,73.74,medgemma-1.5-4b-it,Psychiatry
Psiquiatría,2022,65,98,66.33,medgemma-1.5-4b-it,Psychiatry
Psiquiatría,2023,68,95,71.58,medgemma-1.5-4b-it,Psychiatry
Psiquiatría,2024,69,100,69.0,medgemma-1.5-4b-it,Psychiatry
Psiquiatría,2025,70,97,72.16,medgemma-1.5-4b-it,Psychiatry
Radiología,2018,56,98,57.14,medgemma-1.5-4b-it,Radiology
Radiología,2019,58,99,58.59,medgemma-1.5-4b-it,Radiology
Radiología,2022,44,97,45.36,medgemma-1.5-4b-it,Radiology
Radiología,2023,57,98,58.16,medgemma-1.5-4b-it,Radiology
Radiología,2024,50,96,52.08,medgemma-1.5-4b-it,Radiology
Radiología,2025,49,96,51.04,medgemma-1.5-4b-it,Radiology
Urología,2018,52,99,52.53,medgemma-1.5-4b-it,Urology
Urología,2020,57,100,57.0,medgemma-1.5-4b-it,Urology
Urología,2022,53,100,53.0,medgemma-1.5-4b-it,Urology
Urología,2023,59,98,60.2,medgemma-1.5-4b-it,Urology
Urología,2024,52,99,52.53,medgemma-1.5-4b-it,Urology
Urología,2025,55,98,56.12,medgemma-1.5-4b-it,Urology
Anatomía Patológica & Patología,2018,46,92,50.0,JSL-MedLlama 3 8B v2.0,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,36,82,43.9,JSL-MedLlama 3 8B v2.0,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,43,93,46.24,JSL-MedLlama 3 8B v2.0,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,51,90,56.67,JSL-MedLlama 3 8B v2.0,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,54,92,58.7,JSL-MedLlama 3 8B v2.0,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,50,99,50.51,JSL-MedLlama 3 8B v2.0,Pathological Anatomy and Pathology
Anestesiología,2018,47,89,52.81,JSL-MedLlama 3 8B v2.0,Anesthesiology
Anestesiología,2019,39,82,47.56,JSL-MedLlama 3 8B v2.0,Anesthesiology
Anestesiología,2020,32,79,40.51,JSL-MedLlama 3 8B v2.0,Anesthesiology
Anestesiología,2022,41,86,47.67,JSL-MedLlama 3 8B v2.0,Anesthesiology
Anestesiología,2023,45,93,48.39,JSL-MedLlama 3 8B v2.0,Anesthesiology
Anestesiología,2024,47,89,52.81,JSL-MedLlama 3 8B v2.0,Anesthesiology
Anestesiología,2025,49,93,52.69,JSL-MedLlama 3 8B v2.0,Anesthesiology
Cirugía General,2018,37,90,41.11,JSL-MedLlama 3 8B v2.0,General Surgery
Cirugía General,2019,33,89,37.08,JSL-MedLlama 3 8B v2.0,General Surgery
Cirugía General,2020,36,93,38.71,JSL-MedLlama 3 8B v2.0,General Surgery
Cirugía General,2022,37,92,40.22,JSL-MedLlama 3 8B v2.0,General Surgery
Cirugía General,2023,47,93,50.54,JSL-MedLlama 3 8B v2.0,General Surgery
Cirugía General,2024,47,93,50.54,JSL-MedLlama 3 8B v2.0,General Surgery
Cirugía General,2025,49,91,53.85,JSL-MedLlama 3 8B v2.0,General Surgery
Cirugía de Tórax y Cardiovascular,2019,23,88,26.14,JSL-MedLlama 3 8B v2.0,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,35,80,43.75,JSL-MedLlama 3 8B v2.0,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,47,84,55.95,JSL-MedLlama 3 8B v2.0,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,43,91,47.25,JSL-MedLlama 3 8B v2.0,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,86,184,46.74,JSL-MedLlama 3 8B v2.0,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,39,92,42.39,JSL-MedLlama 3 8B v2.0,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,38,88,43.18,JSL-MedLlama 3 8B v2.0,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,28,91,30.77,JSL-MedLlama 3 8B v2.0,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,36,92,39.13,JSL-MedLlama 3 8B v2.0,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,36,95,37.89,JSL-MedLlama 3 8B v2.0,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,44,89,49.44,JSL-MedLlama 3 8B v2.0,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,50,95,52.63,JSL-MedLlama 3 8B v2.0,Gynecology and Obstetrics
Neurocirugía,2022,40,95,42.11,JSL-MedLlama 3 8B v2.0,Neurosurgery
Neurocirugía,2023,49,93,52.69,JSL-MedLlama 3 8B v2.0,Neurosurgery
Neurocirugía,2024,46,90,51.11,JSL-MedLlama 3 8B v2.0,Neurosurgery
Neurocirugía,2025,45,95,47.37,JSL-MedLlama 3 8B v2.0,Neurosurgery
Oftalmología,2018,36,93,38.71,JSL-MedLlama 3 8B v2.0,Ophthalmology
Oftalmología,2019,35,91,38.46,JSL-MedLlama 3 8B v2.0,Ophthalmology
Oftalmología,2020,31,84,36.9,JSL-MedLlama 3 8B v2.0,Ophthalmology
Oftalmología,2022,33,89,37.08,JSL-MedLlama 3 8B v2.0,Ophthalmology
Oftalmología,2023,42,94,44.68,JSL-MedLlama 3 8B v2.0,Ophthalmology
Oftalmología,2024,31,90,34.44,JSL-MedLlama 3 8B v2.0,Ophthalmology
Oftalmología,2025,34,95,35.79,JSL-MedLlama 3 8B v2.0,Ophthalmology
Pediatría,2018,43,91,47.25,JSL-MedLlama 3 8B v2.0,Pediatrics
Pediatría,2019,44,90,48.89,JSL-MedLlama 3 8B v2.0,Pediatrics
Pediatría,2020,40,89,44.94,JSL-MedLlama 3 8B v2.0,Pediatrics
Pediatría,2022,41,89,46.07,JSL-MedLlama 3 8B v2.0,Pediatrics
Pediatría,2023,50,95,52.63,JSL-MedLlama 3 8B v2.0,Pediatrics
Pediatría,2024,47,93,50.54,JSL-MedLlama 3 8B v2.0,Pediatrics
Pediatría,2025,50,93,53.76,JSL-MedLlama 3 8B v2.0,Pediatrics
Prueba A,2018,53,92,57.61,JSL-MedLlama 3 8B v2.0,Test A
Prueba A,2019,50,88,56.82,JSL-MedLlama 3 8B v2.0,Test A
Prueba A,2020,40,82,48.78,JSL-MedLlama 3 8B v2.0,Test A
Prueba A,2022,49,92,53.26,JSL-MedLlama 3 8B v2.0,Test A
Prueba A,2023,52,94,55.32,JSL-MedLlama 3 8B v2.0,Test A
Prueba A,2024,56,91,61.54,JSL-MedLlama 3 8B v2.0,Test A
Prueba A,2025,54,94,57.45,JSL-MedLlama 3 8B v2.0,Test A
Prueba B,2018,55,91,60.44,JSL-MedLlama 3 8B v2.0,Test B
Prueba B,2019,46,86,53.49,JSL-MedLlama 3 8B v2.0,Test B
Prueba B,2020,41,80,51.25,JSL-MedLlama 3 8B v2.0,Test B
Prueba B,2022,39,94,41.49,JSL-MedLlama 3 8B v2.0,Test B
Prueba B,2023,49,93,52.69,JSL-MedLlama 3 8B v2.0,Test B
Prueba B,2024,42,95,44.21,JSL-MedLlama 3 8B v2.0,Test B
Prueba B,2025,54,90,60.0,JSL-MedLlama 3 8B v2.0,Test B
Psiquiatría,2018,60,93,64.52,JSL-MedLlama 3 8B v2.0,Psychiatry
Psiquiatría,2019,57,87,65.52,JSL-MedLlama 3 8B v2.0,Psychiatry
Psiquiatría,2020,67,94,71.28,JSL-MedLlama 3 8B v2.0,Psychiatry
Psiquiatría,2022,44,87,50.57,JSL-MedLlama 3 8B v2.0,Psychiatry
Psiquiatría,2023,68,91,74.73,JSL-MedLlama 3 8B v2.0,Psychiatry
Psiquiatría,2024,68,92,73.91,JSL-MedLlama 3 8B v2.0,Psychiatry
Psiquiatría,2025,66,95,69.47,JSL-MedLlama 3 8B v2.0,Psychiatry
Radiología,2018,44,87,50.57,JSL-MedLlama 3 8B v2.0,Radiology
Radiología,2019,38,90,42.22,JSL-MedLlama 3 8B v2.0,Radiology
Radiología,2022,32,95,33.68,JSL-MedLlama 3 8B v2.0,Radiology
Radiología,2023,38,94,40.43,JSL-MedLlama 3 8B v2.0,Radiology
Radiología,2024,48,94,51.06,JSL-MedLlama 3 8B v2.0,Radiology
Radiología,2025,40,94,42.55,JSL-MedLlama 3 8B v2.0,Radiology
Urología,2018,55,90,61.11,JSL-MedLlama 3 8B v2.0,Urology
Urología,2020,34,92,36.96,JSL-MedLlama 3 8B v2.0,Urology
Urología,2022,30,92,32.61,JSL-MedLlama 3 8B v2.0,Urology
Urología,2023,52,94,55.32,JSL-MedLlama 3 8B v2.0,Urology
Urología,2024,43,92,46.74,JSL-MedLlama 3 8B v2.0,Urology
Urología,2025,40,92,43.48,JSL-MedLlama 3 8B v2.0,Urology
Anatomía Patológica & Patología,2018,74,100,74.0,OpenBioLLM-70B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,64,100,64.0,OpenBioLLM-70B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,70,100,70.0,OpenBioLLM-70B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,77,100,77.0,OpenBioLLM-70B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,77,100,77.0,OpenBioLLM-70B,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,70,100,70.0,OpenBioLLM-70B,Pathological Anatomy and Pathology
Anestesiología,2018,69,100,69.0,OpenBioLLM-70B,Anesthesiology
Anestesiología,2019,70,100,70.0,OpenBioLLM-70B,Anesthesiology
Anestesiología,2020,64,100,64.0,OpenBioLLM-70B,Anesthesiology
Anestesiología,2022,66,100,66.0,OpenBioLLM-70B,Anesthesiology
Anestesiología,2023,65,100,65.0,OpenBioLLM-70B,Anesthesiology
Anestesiología,2024,75,100,75.0,OpenBioLLM-70B,Anesthesiology
Anestesiología,2025,74,100,74.0,OpenBioLLM-70B,Anesthesiology
Cirugía General,2018,62,100,62.0,OpenBioLLM-70B,General Surgery
Cirugía General,2019,60,100,60.0,OpenBioLLM-70B,General Surgery
Cirugía General,2020,63,100,63.0,OpenBioLLM-70B,General Surgery
Cirugía General,2022,64,100,64.0,OpenBioLLM-70B,General Surgery
Cirugía General,2023,74,100,74.0,OpenBioLLM-70B,General Surgery
Cirugía General,2024,73,100,73.0,OpenBioLLM-70B,General Surgery
Cirugía General,2025,71,100,71.0,OpenBioLLM-70B,General Surgery
Cirugía de Tórax y Cardiovascular,2019,51,100,51.0,OpenBioLLM-70B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,69,100,69.0,OpenBioLLM-70B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,71,100,71.0,OpenBioLLM-70B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,69,100,69.0,OpenBioLLM-70B,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,146,200,73.0,OpenBioLLM-70B,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,69,100,69.0,OpenBioLLM-70B,Gynecology and Obstetrics
Ginecología y Obstetricia,2019,68,100,68.0,OpenBioLLM-70B,Gynecology and Obstetrics
Ginecología y Obstetricia,2020,63,100,63.0,OpenBioLLM-70B,Gynecology and Obstetrics
Ginecología y Obstetricia,2022,62,100,62.0,OpenBioLLM-70B,Gynecology and Obstetrics
Ginecología y Obstetricia,2023,63,100,63.0,OpenBioLLM-70B,Gynecology and Obstetrics
Ginecología y Obstetricia,2024,64,100,64.0,OpenBioLLM-70B,Gynecology and Obstetrics
Ginecología y Obstetricia,2025,68,100,68.0,OpenBioLLM-70B,Gynecology and Obstetrics
Neurocirugía,2022,62,100,62.0,OpenBioLLM-70B,Neurosurgery
Neurocirugía,2023,74,100,74.0,OpenBioLLM-70B,Neurosurgery
Neurocirugía,2024,75,100,75.0,OpenBioLLM-70B,Neurosurgery
Neurocirugía,2025,57,100,57.0,OpenBioLLM-70B,Neurosurgery
Oftalmología,2018,57,100,57.0,OpenBioLLM-70B,Ophthalmology
Oftalmología,2019,63,100,63.0,OpenBioLLM-70B,Ophthalmology
Oftalmología,2020,70,100,70.0,OpenBioLLM-70B,Ophthalmology
Oftalmología,2022,70,100,70.0,OpenBioLLM-70B,Ophthalmology
Oftalmología,2023,66,100,66.0,OpenBioLLM-70B,Ophthalmology
Oftalmología,2024,64,100,64.0,OpenBioLLM-70B,Ophthalmology
Oftalmología,2025,65,100,65.0,OpenBioLLM-70B,Ophthalmology
Pediatría,2018,63,100,63.0,OpenBioLLM-70B,Pediatrics
Pediatría,2019,70,100,70.0,OpenBioLLM-70B,Pediatrics
Pediatría,2020,58,100,58.0,OpenBioLLM-70B,Pediatrics
Pediatría,2022,71,100,71.0,OpenBioLLM-70B,Pediatrics
Pediatría,2023,72,100,72.0,OpenBioLLM-70B,Pediatrics
Pediatría,2024,70,100,70.0,OpenBioLLM-70B,Pediatrics
Pediatría,2025,74,100,74.0,OpenBioLLM-70B,Pediatrics
Prueba A,2018,75,100,75.0,OpenBioLLM-70B,Test A
Prueba A,2019,69,100,69.0,OpenBioLLM-70B,Test A
Prueba A,2020,68,90,75.56,OpenBioLLM-70B,Test A
Prueba A,2022,78,100,78.0,OpenBioLLM-70B,Test A
Prueba A,2023,80,100,80.0,OpenBioLLM-70B,Test A
Prueba A,2024,78,100,78.0,OpenBioLLM-70B,Test A
Prueba A,2025,79,100,79.0,OpenBioLLM-70B,Test A
Prueba B,2018,73,100,73.0,OpenBioLLM-70B,Test B
Prueba B,2019,72,100,72.0,OpenBioLLM-70B,Test B
Prueba B,2020,74,90,82.22,OpenBioLLM-70B,Test B
Prueba B,2022,76,100,76.0,OpenBioLLM-70B,Test B
Prueba B,2023,69,100,69.0,OpenBioLLM-70B,Test B
Prueba B,2024,78,100,78.0,OpenBioLLM-70B,Test B
Prueba B,2025,77,100,77.0,OpenBioLLM-70B,Test B
Psiquiatría,2018,79,100,79.0,OpenBioLLM-70B,Psychiatry
Psiquiatría,2019,87,100,87.0,OpenBioLLM-70B,Psychiatry
Psiquiatría,2020,91,100,91.0,OpenBioLLM-70B,Psychiatry
Psiquiatría,2022,78,100,78.0,OpenBioLLM-70B,Psychiatry
Psiquiatría,2023,83,100,83.0,OpenBioLLM-70B,Psychiatry
Psiquiatría,2024,92,100,92.0,OpenBioLLM-70B,Psychiatry
Psiquiatría,2025,89,100,89.0,OpenBioLLM-70B,Psychiatry
Radiología,2018,71,100,71.0,OpenBioLLM-70B,Radiology
Radiología,2019,73,100,73.0,OpenBioLLM-70B,Radiology
Radiología,2022,67,100,67.0,OpenBioLLM-70B,Radiology
Radiología,2023,71,100,71.0,OpenBioLLM-70B,Radiology
Radiología,2024,72,100,72.0,OpenBioLLM-70B,Radiology
Radiología,2025,62,100,62.0,OpenBioLLM-70B,Radiology
Urología,2018,83,100,83.0,OpenBioLLM-70B,Urology
Urología,2020,63,100,63.0,OpenBioLLM-70B,Urology
Urología,2022,68,100,68.0,OpenBioLLM-70B,Urology
Urología,2023,75,100,75.0,OpenBioLLM-70B,Urology
Urología,2024,67,100,67.0,OpenBioLLM-70B,Urology
Urología,2025,69,100,69.0,OpenBioLLM-70B,Urology
Anatomía Patológica & Patología,2018,82,100,82.0,medgemma-27b-text-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2019,77,100,77.0,medgemma-27b-text-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2020,88,100,88.0,medgemma-27b-text-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2023,86,100,86.0,medgemma-27b-text-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2024,92,100,92.0,medgemma-27b-text-it,Pathological Anatomy and Pathology
Anatomía Patológica & Patología,2025,85,100,85.0,medgemma-27b-text-it,Pathological Anatomy and Pathology
Anestesiología,2018,85,100,85.0,medgemma-27b-text-it,Anesthesiology
Anestesiología,2019,83,100,83.0,medgemma-27b-text-it,Anesthesiology
Anestesiología,2020,76,100,76.0,medgemma-27b-text-it,Anesthesiology
Anestesiología,2022,76,99,76.77,medgemma-27b-text-it,Anesthesiology
Anestesiología,2023,77,100,77.0,medgemma-27b-text-it,Anesthesiology
Anestesiología,2024,84,100,84.0,medgemma-27b-text-it,Anesthesiology
Anestesiología,2025,84,100,84.0,medgemma-27b-text-it,Anesthesiology
Cirugía General,2018,74,100,74.0,medgemma-27b-text-it,General Surgery
Cirugía General,2019,77,100,77.0,medgemma-27b-text-it,General Surgery
Cirugía General,2020,81,100,81.0,medgemma-27b-text-it,General Surgery
Cirugía General,2022,83,100,83.0,medgemma-27b-text-it,General Surgery
Cirugía General,2023,80,100,80.0,medgemma-27b-text-it,General Surgery
Cirugía General,2024,74,100,74.0,medgemma-27b-text-it,General Surgery
Cirugía General,2025,79,100,79.0,medgemma-27b-text-it,General Surgery
Cirugía de Tórax y Cardiovascular,2019,60,100,60.0,medgemma-27b-text-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2022,79,100,79.0,medgemma-27b-text-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2023,82,100,82.0,medgemma-27b-text-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2024,81,100,81.0,medgemma-27b-text-it,Thoracic and Cardiovascular Surgery
Cirugía de Tórax y Cardiovascular,2025,158,200,79.0,medgemma-27b-text-it,Thoracic and Cardiovascular Surgery
Ginecología y Obstetricia,2018,77,100,77.0,medgemma-27b-text-it,Gynecology and Obstetrics
