questions,option_A,option_B,option_C,option_D,correct_answer
¿Cuál es la conducta en una obstrucción intestinal de asa cerrada?,Hidratación y antibióticos,Intervención quirúrgica,Sonda rectal,Sonda nasogástrica,B
"Mujer de 38 años acude a emergencia por sangrado genital en regular cantidad; terminó de menstruar hace 7 días. 
Examen: FC: 90 X', T°: 37 °C, FR: 20 X', PA: 100/70 mmHg. Ginecológico: sangrado por introito vaginal; especuloscopía: 
sangrado rojizo con pequeños coágulos por orificio externo cervical; al tacto: útero de 12 cm, superficie irregular; anexos 
normales. ¿Cuál es la probable causa del SUA?",Sarcoma endometrial,Miomatosis uterina,Pólipo endometrial,Adenomiosis,B
"En la enfermedad arterial periférica, la localización de los síntomas musculares se suele correlacionar con la localización 
anatómica de la enfermedad. ¿Cuál es la arteria comprometida en la claudicación de la pierna?",Femoropoplítea,Tibial posterior,Aortoilíaca,Dorsal del pie,A
¿Cuál de los pólipos neoplásicos de colon tienen mayor potencial maligno?,Adenoma velloso,Adenoma tubular,Pólipos hiperplásicos,Hamartomas,A
"Mujer de 45 años acude a consulta externa por subida de peso, trastornos menstruales. Examen: giba de búfalo, obesidad 
central, glucosa elevada, estrías cutáneas. ¿Cuál de los siguientes fármacos, es el medicamento de elección?",Espironolactona,Prednisona,Ketoconazol,Fluconazol,C
"Mujer de 48 años, ama de casa, acude por sensación de adormecimiento en mucosa oral, asimismo refiere que al masticar 
alimentos esta sensación se convierte en un dolor intenso, de poca duración y tipo ""electricidad"". ¿Qué par craneal está 
afectado?",V,X,IX,VII,A
"Un investigador concluye que los menores de seis meses que acuden al centro de salud no presentan asociación entre 
la ausencia de lactancia materna exclusiva y la mayor incidencia de episodios de diarrea. ¿Qué tipo de error se 
relacionaría con esta conclusión?",II,Nulo,Alfa,I,A
"La hipersensibilidad de la pared torácica y el movimiento paradójico (tórax inestable), pueden identificarse en lesiones 
de...",pulmones.,tráquea.,diafragma.,costillas.,D
"Varón de 45 años, con inmunodeficiencia en tratamiento irregular, hace 2 meses presenta tos, espectoración densa, fiebre 
y baja de peso, luego aparecen lesiones nodulares en pies, que se rompen y se fistulizan. Laboratorio: estudio de 
secreción evidencia filamentos grampositivos en forma de rosario, ramificados y curvos. Rx tórax: cavitaciones y nódulos. 
¿Cuál es el tratamiento de elección?",Claritromicina,Rifampicina,Ciprofloxacino,Cotrimoxazol,D
¿Cuál de los siguientes neurotransmisores actúa en el sistema nervioso autónomo?,Noradrenalina,Dopamina,Acetilcolina,Serotonina,C
"En sala de partos, el neonatólogo es llamado de emergencia para atender a un recién nacido de parto vaginal. 
Examen: APGAR: 81-95; cabeza: lesión limitada por las líneas de sutura, fontatelas normotensas. ¿Cuál es el diagnóstico 
probable?",Caput succedaneum,Hemorragía intracraneal,Cefalohematoma,Hematoma subgaleal,C
"El sistema de conducción especializado del corazón tiene doble función: generar impulsos rítmicos que provoquen la 
contracción miocárdica y por otra parte la de conducir este impulso a lo largo del corazón. Todas las células miocárdicas 
tienen cuatro propiedades. ¿Cómo se llama la capacidad de ser contráctil?",Automatismo,Dromotropismo,Cronotropismo,Inotropismo,D
"Mujer de 45 años, presenta oliguria posterior a urografía excretora, niega otros síntomas. Laboratorio: úrea 40 mg/dl, 
creatinina 3 mg/dl. EFNA > 1%; orina: cilindros pigmentados de color marrón-turbio, granulosos y epiteliales. ¿Cuál es el 
diagnóstico?",Vasculitis,Glomérulonefritis,Necrosis tubular aguda,Nefritis intersticial,C
En la evaluación de un recién nacido. ¿Cuál de los siguientes hallazgos requiere atención especializada?,Diástasis de rectos,Saturación de O2 de 90%,Telangiectasia occipital,Puntos rubíes,B
"Varón de 26 años, desde hace 5 días, presenta cefalea global, fiebre y hace un día vómitos sin náusea, dolores 
osteomusculares. Examen: T° 39 °C. Kernig y Brudzinski positivo. No traumatismos craneanos ni consumo de 
medicamentos. ¿Cuál es el hallazgo en LCR con mayor posibilidad de meningitis bacteriana?",Glucosa 60 mg/dl,Ácido láctico 6 mmol/l,Proteínas 40 mg/dl,Recuento celular 100 /µl,B
"De acuerdo al algoritmo de valoración del paciente politraumatizado. ¿Cuáles son las primeras acciones a tomar a la 
llegada a emergencia?",Exponer al paciente por completo y proteger de hipotermia,"Valorar vía aérea, provocar respuesta verbal y proteger columna cervical","Valorar la respiración, exploración física y pulsioximetría","Valorar circulación, examen físico y control de funciones vitales",B
"Varón de 58 años, trabaja desde hace 20 años en una industria metalúrgica con hierro; hace 5 meses presenta disnea y 
tos que se van incrementando con el tiempo. Examen: PA: 110/60 mmHg, FC:78 X', FR: 20 X'; pulmones: crepitantes 
difusos en ambos campos pulmonares. TEM de tórax: signos de panalización. ¿Cuál es el tipo de neumoconiosis?",Asbestosis,Siderosis,Berilosis,Silicosis,B
